Рацион;Масляная;Капроновая;Каприловая;Каприновая;Деценовая;Лауриновая;Миристиновая;Миристолеиновая;Пальмитиновая;Пальмитолеиновая;Стеариновая;Олеиновая;Линолевая;Линоленовая;Арахиновая
ЖК Бобров Д1 (КК-11) 25.02.24 (1)_ЭНАВ;3.27;2.15;1.34;3.34;0.28;4.1;11.21;1.11;33.26;2.17;8.19;22.1;2.38;0.43;0.12
Д1 Бодеевка 25.02.25_ЭНАЛБ;3.24;2.09;1.28;3.11;0.26;3.76;10.71;1.07;32.65;2.34;8.31;23.62;2.36;0.39;0.12
Отчет_Д1 Бодеевка 26.06.25_ЭНАЛБ;3.31;2.21;1.31;3.26;0.21;3.91;10.77;1.01;31.53;2.12;8.67;23.71;2.62;0.4;0.12
ЖК В. Икорец Д1 (КК-11) 21.05.25_ЭНАВ;3.47;2.34;1.41;3.54;0.25;4.34;11.48;1.08;35.64;2.15;7.66;19.07;2.29;0.39;0.11
Отчет_Д1 ЖК Волчанское 26.06.2025_ЭНАПБ;3.37;2.25;1.35;3.32;0.24;4;11.19;1.06;33.31;2.25;8.3;21.8;2.5;0.4;0.12
Рацион Д1 Высокое 25.02.25_ЭНАЛБ;3.24;2.07;1.27;3.05;0.26;3.68;10.22;1.03;32.88;2.42;8.65;22.24;2.47;0.34;0.12
Отчет_Д1 Высокое 21.05.25_ЭНАЛБ;3.56;2.33;1.39;3.26;0.24;3.86;10.63;1;31.35;2.11;9.36;23.38;2.58;0.4;0.14
Рацион Д1 Высокое 25.02.25_ЭНАЛБ;3.17;2.01;1.25;2.98;0.26;3.61;10.34;1.06;32.63;2.41;8.72;24.14;2.5;0.35;0.12
Д0 Высокое 25.02.25_ЭНАЛБ;3.42;2;1.15;2.54;0.18;2.88;9.02;0.75;29.65;2.23;11.11;27.64;2.43;0.36;0.14
Рацион Д3 ЖК Высокое 25.02.25_ЭНАЛБ;3.25;2.05;1.25;2.96;0.26;3.57;10.26;1.05;32.63;2.4;8.77;24.11;2.5;0.35;0.12
Д1 ДОБРИНО 25.02.25_ЭНАЛБ;3.17;2.08;1.31;3.22;0.27;3.93;10.82;1.07;32.06;2.26;8.42;23.73;2.48;0.42;0.12
Отчет_Д1 ДОБРИНО 26.06.25_ЭНАЛБ;3.42;2.28;1.37;3.38;0.23;4.08;11.22;1.05;31.79;2.04;8.74;22.76;2.57;0.44;0.13
Отчет_Д1 ЖК Залужное 21.05.2025_ЭНАПБ;3.57;2.44;1.46;3.61;0.26;4.38;11.68;1.12;34.51;2.2;7.7;19.58;2.37;0.35;0.11
Отчет_Д1 ЖК Колыбелка 24.04.2024_ЭНАПБ;3.55;2.33;1.4;3.47;0.25;4.24;11.55;1.11;33.77;2.17;8.09;20.69;2.4;0.33;0.11
Рацион Д1 ЖК Коршево 25.02.2025_ЭНАС;3.28;2.13;1.32;3.25;0.29;3.97;11.05;1.1;33.61;2.28;8.22;21.91;2.3;0.47;0.12
Рацион Д1 ЖК Коршево 26.06.25_ЭНАС;3.28;2.24;1.33;3.32;0.22;4.03;11.17;1.05;33.89;2.13;8.07;21.44;2.7;0.43;0.11
Рацион Д1ЖК Озерки 26.06.2025_ЭНАЮ;3.27;2.27;1.37;3.5;0.25;4.25;11.43;1.18;32.44;2.2;7.77;21.96;2.76;0.44;0.11
Отчет_ОМ Север ЖК Шацк Д0 28.01.25_ОМШ;3.56;1.97;1.07;2.37;0.12;2.6;8.77;0.67;28.9;2.71;10.9;29.51;2.35;0.31;0.11
Отчет_ОМ Север ЖК Шацк Д1 28.01.25_стельные_ОМШ;2.88;1.96;1.28;3.44;0.28;4.47;11.85;1.28;33.78;2.44;6.7;21.18;2.61;0.39;0.1
Отчет_ОМ Север ЖК Шацк Д1 28.01.25_раздой_ОМШ;3.05;2.13;1.35;3.44;0.29;4.31;11.28;1.13;34.64;2.28;7.19;20.72;2.52;0.36;0.11
Отчет_ОМ Север ЖК Шацк Д1 28.01.25_раздой_ОМШ;2.98;2.04;1.32;3.53;0.28;4.54;11.77;1.22;35.33;2.42;6.41;20.04;2.49;0.34;0.1
Отчет_ОМ Север ЖК Шацк Д2 28.01.25_ОМШ;2.96;2.06;1.37;3.63;0.31;4.71;11.96;1.29;32.8;2.4;7.41;20.88;2.39;0.4;0.12
Отчет_ОМ Север ЖК Шацк Д3 28.01.25_ОМШ;3.09;2.2;1.25;3.06;0.27;3.79;11.33;1.2;32.22;2.47;8.55;22.95;2.22;0.35;0.13
Д1 Курская Васильевка  19.03.25_v1_СНО;3.01;1.97;1.26;3.25;0.25;4.08;11.16;1.16;31.9;2.43;7.79;23.08;2.83;0.48;0.11
ЖК Наратлы Д1 от 19.03.25_СНТ;2.95;2;1.29;3.41;0.26;4.33;11.59;1.22;33.06;2.46;6.68;21.79;2.82;0.47;0.1
Семено-макарово_Д1_19.03.2025 _СНБ;3.05;2.02;1.28;3.34;0.26;4.19;11.49;1.15;33.48;2.41;7.24;21.54;2.56;0.4;0.1
Д1_Старое резяпкино_19.03.25_V2_СНС;2.79;1.92;1.26;3.38;0.27;4.41;11.73;1.25;34.47;2.4;6.3;20.39;2.89;0.45;0.1
Отчет_ОМ Север ЖК Шацк Д1 28.01.25_раздой_ОМШ;2.94;1.95;1.22;3.1;0.23;3.79;10.78;1.05;34.49;2.24;7.27;23.29;2.56;0.36;0.12
Отчет_ОМ Север ЖК Шацк Д1 28.01.25_раздой_ОМШ;2.99;1.94;1.2;3.05;0.23;3.71;10.59;1.13;34.01;2.44;7.15;23.95;2.49;0.35;0.11
Отчет_ОМ Север ЖК Шацк Д1 28.01.25_стельные_ОМШ;3.05;1.98;1.21;2.96;0.25;3.6;10.98;1.1;30.3;2.3;9.54;24.75;2.45;0.35;0.14
Отчет_ОМ Север ЖК Шацк Д2 28.01.25_ОМШ;3.01;2.11;1.4;3.67;0.3;4.67;11.7;1.25;32.55;2.3;7.83;21.06;2.41;0.41;0.13
Отчет_ОМ Север ЖК Шацк Д0 28.01.25_ОМШ;3.83;2;1.06;2.22;0.1;2.39;8.14;0.6;29.21;2.66;11.03;30.22;2.26;0.28;0.11
Отчет_ОМ Север ЖК Аванград Д1 02.04.2025_ОМС;3.13;2.12;1.37;3.46;0.27;4.23;11.53;1.13;30.79;2.13;8.69;23.58;2.57;0.39;0.13
Отчет_ОМ Север ЖК Нестерово Д1 02.04.2025_ОМС;3.09;2.03;1.29;3.21;0.25;3.91;11.1;1.1;29.97;2.16;8.98;25.18;2.66;0.39;0.13
