Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ| $/килограмм
Кукуруза. 70%,сухая, мелк.|87,540|4,341|3,800|8,56|17,27|21 000,000
Ячмень. сухой 53%, средний|89,000|5,056|4,500|9,97|20,45|16 000,000
Жмых льняной. 36%, ЭНАПКХ|95,000|2,105|2,000|4,15|9,09|29 800,000
Шрот соевый. 49%, ЭНАПКХ|89,750|1,114|1,000|2,20|4,55|50 071,000
Дробина сухая. 27%, пивная,|92,600|1,620|1,500|3,19|6,82|17 660,000
Сода. ЭНАПКХ|95,600|0,157|0,150|0,31|0,68|41 730,000
Соль. ЭНАПКХ|99,850|0,085|0,085|0,17|0,39|6 540,000
Мел. ЭНАПКХ|99,200|0,242|0,240|0,48|1,09|5 890,000
Премикс дойный Б. 09.22|99,000|0,152|0,150|0,30|0,68|125 750,000
Жом свекловичный сухой.|91,450|1,476|1,350|2,91|6,14|11 910,000
6101.08.06.02.1.24/13.11.24|25,300|12,747|3,225|25,13|14,66|2 277,000
6110.06.18.01.1.24/01.05.25|18,500|21,622|4,000|42,63|18,18|2 590,000
