Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/килограмм
Солома пшеничная ЛБ|74,000|0,338|0,250|0,75|1,00|5 000
С-Ж 2262.05.10.01.1.24 / 05.01.25|34,000|4,118|1,400|9,12|5,60|4 080
С-Ж 2262.01.01.01.1.24 / 05.01.25|36,000|3,889|1,400|8,61|5,60|4 320
Жом свекловичный сухой. гр, ЭНАПКХ v2|91,450|1,422|1,300|3,15|5,20|10 003
Кукуруза. 70%,сухая, мелк. помол|87,540|5,141|4,500|11,38|18,00|9 086
Шрот соевый. 47%, ЭНАПКХ|89,750|3,565|3,200|7,89|12,80|43 006
Жмых рапсовый. 36%, ЭНАПКХ|95,000|1,895|1,800|4,20|7,20|19 568
Патока свекловичная, сах.49%,  ЭНАПКХ|79,500|1,635|1,300|3,62|5,20|2 049
КК 10 От 17.09.24 ячмень|92,397|3,247|3,000|7,19|12,00|35 747
С-С 2262.04.05.02.1.24 / СР|34,400|19,913|6,850|44,09|27,40|3 096
