Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/Tonne
5701.01.05.1.23 /19.09.2024|54,200|5,535|3,000|11,10|12,00|6 179
5210.03.03.01.1.24 /23.05.2025|31,200|11,474|3,580|23,00|14,32|4 368
5210.07.05.02.1.24 /23.05.2025|29,700|18,519|5,500|37,13|22,00|2 673
Шрот соевый. 47%, ЭНАПКХ|89,750|3,677|3,300|7,37|13,20|45 020
Шрот рапсовый. 41%, ЭНАПКХ|91,800|2,397|2,200|4,80|8,80|28 140
Кукуруза. 65%,сухая средн.|87,540|4,969|4,350|9,96|17,40|12 910
Жом свекловичный сухой.|91,450|0,437|0,400|0,88|1,60|9 800
Соль. ЭНАПКХ|99,850|0,120|0,120|0,24|0,48|8 560
Сода. ЭНАПКХ|95,600|0,209|0,200|0,42|0,80|49 430
Мел. ЭНАПКХ|99,200|0,272|0,270|0,55|1,08|2 570
Жир защищеный. 99%|99,500|0,291|0,290|0,58|1,16|187 620
Премикс дойный Б. 09.22|99,000|0,152|0,150|0,30|0,60|132 850
Поташ. ЭНАПКХ|98,500|0,142|0,140|0,28|0,56|94 840
Ячмень. сухой 53%, средний помол, ЭНАПКХ|89,000|1,573|1,400|3,15|5,60|15 790
Добавка ЛЕД ЭНАПКХ|90,000|0,111|0,100|0,22|0,40|229 590
