Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
6601.40.05.02.1.24/03.03.25|38,800|11,598|4,500|24,14|18,00
6601.25.01.01.2.24 /|21,000|9,524|2,000|19,82|8,00
6601.07.06.01.1.24 /|28,400|7,676|2,180|15,98|8,72
Ячмень.61%, сухой, средний|89,000|4,494|4,000|9,35|16,00
Кукуруза. 70%,сухая средн.|87,540|2,285|2,000|4,75|8,00
Шрот соевый. 51%, ЭНАПКХ|89,750|3,120|2,800|6,49|11,20
Шрот рапсовый. 38%,|91,800|1,416|1,300|2,95|5,20
6601.49.05.07.1.24 /|64,300|1,866|1,200|3,88|4,80
Жом свекловичный сухой.|91,450|1,422|1,300|2,96|5,20
Патока свекловичная, сахар|79,500|1,258|1,000|2,62|4,00
6601.48.05.06.1.24 /|63,300|1,580|1,000|3,29|4,00
Соевая оболочка ЭНАПКХ|90,200|0,776|0,700|1,62|2,80
Жир защищеный. 99%,|99,500|0,251|0,250|0,52|1,00
Сода. ЭНАПКХ|95,600|0,209|0,200|0,44|0,80
Мел. ЭНАПКХ|99,200|0,202|0,200|0,42|0,80
Премикс дойный Б. 07.23|99,000|0,152|0,150|0,32|0,60
Соль. ЭНАПКХ|99,850|0,120|0,120|0,25|0,48
Поташ. ЭНАПКХ|98,500|0,102|0,100|0,21|0,40
