Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Силос 2501.05.05.02.1.24|35,000|18,743|6,560|39,50|26,24
Люцерна 2501.04.08.01.1.24|33,200|7,500|2,490|15,81|9,96
Тритикале 2501.02.12.01.1.24|26,100|4,598|1,200|9,69|4,80
Патока свекловичная, сахар|79,500|1,635|1,300|3,45|5,20
Шрот соевый. 49%, ЭНАПКХ|89,750|3,398|3,050|7,16|12,20
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,329|1,220|2,80|4,88
Жом свекловичный сухой. гр|91,450|1,389|1,270|2,93|5,08
Кукуруза. 70%,сухая средн.|87,540|5,495|4,810|11,58|19,24
Комбикорм 11.3.3 (без пшен.)|92,246|3,361|3,100|7,08|12,40
Общие значения||47,447|25,000||52,7 %СВ
