Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Силос 3637.07.05.02.1.24 -|28,700|21,742|6,240|44,62|24,96
Люцерна 3637.03.01.01.2.24 -|39,600|5,707|2,260|11,71|9,04
Тритикале 3636.01.12.01.1.24 -|30,400|4,112|1,250|8,44|5,00
Патока свекловичная, сахар|79,500|1,635|1,300|3,36|5,20
Шрот соевый. 49%, ЭНАПКХ|89,750|3,253|2,920|6,68|11,68
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,634|1,500|3,35|6,00
Жом свекловичный сухой. гр,|91,450|1,422|1,300|2,92|5,20
Кукуруза. 70%,сухая средн. помол, ЭНАПКХ|87,540|5,860|5,130|12,03|20,52
Комбикорм 11.3.3 (без пшен.) _Сентябрь 12.03.25|92,199|3,363|3,100|6,90|12,40
Общие значения||48,728|25,000||51,3 %СВ
