Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Силос 2371.05.05.02.1.23 -|32,300|9,845|3,180|20,39|12,72
Силос 2371.04.05.02.1.24 -|25,700|11,673|3,000|24,18|12,00
Люцерна2371.01.01.01.2.24 -|39,500|5,367|2,120|11,12|8,48
Тритикале 3636.01.12.01.1.24 -|30,400|3,947|1,200|8,18|4,80
Патока свекловичная, сахар|79,500|1,635|1,300|3,39|5,20
Шрот соевый. 49%, ЭНАПКХ|89,750|3,343|3,000|6,92|12,00
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,525|1,400|3,16|5,60
Жом свекловичный сухой. гр,|91,450|1,476|1,350|3,06|5,40
Кукуруза. 70%,сухая средн. помол, ЭНАПКХ|87,540|6,111|5,350|12,66|21,40
Комбикорм 11.3.3 (без пшен.) _Сентябрь 12.03.25|92,199|3,362|3,100|6,96|12,40
