Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
1603.03.01.01.1.24/290125|35,400|10,311|3,650|22,68|14,60
1603.02.05.02.1.24/29.01.20|35,600|14,888|5,300|32,75|21,20
1603.01.05.07.1.24/290125|48,100|3,119|1,500|6,86|6,00
1603.01.05.06.1.24/290125|60,400|2,483|1,500|5,46|6,00
Кукуруза. 70%,сухая средн.|87,540|3,199|2,800|7,04|11,20
Шрот соевый. 49%, ЭНАПКХ|89,750|3,454|3,100|7,60|12,40
Шрот рапсовый. 38%|91,800|1,362|1,250|3,00|5,00
Жом свекловичный сухой.|91,450|1,093|1,000|2,41|4,00
Патока свекловичная, сахар 55%, ЭНАПКХ|79,500|1,321|1,050|2,91|4,20
Кормосмесь 10|91,087|4,227|3,850|9,30|15,40
