Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Солома ЭНА Восточное|82,990|0,783|0,650|1,51|2,60
Силос 3636.07.05.02.1.24|26,900|23,420|6,300|45,25|25,20
Люцерна 3637.04.01.01.3.24|33,000|6,667|2,200|12,88|8,80
Тритикале 3636.01.12.01.1.24|30,000|4,500|1,350|8,69|5,40
Патока свекловичная, сахар|79,500|1,698|1,350|3,28|5,40
Шрот соевый. 49%, ЭНАПКХ|89,750|3,008|2,700|5,81|10,80
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,852|1,700|3,58|6,80
Соевая оболочка ЭНАПКХ|90,200|1,220|1,100|2,36|4,40
Кукуруза. 70%,сухая средн. помол, ЭНАПКХ|87,540|5,769|5,050|11,15|20,20
Комбикорм 10.3.3 (без пшен.) _Сентябрь 09.09.24|91,440|2,843|2,600|5,49|10,40
Общие значения||51,760|25,000||48,3 %СВ
