Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/ Т онна
с-с  23.06.2025\4030.01.05.02.1.24 Прудки|31,400|11,465|3,600|22,72|14,23|2 826
с-с 23.06.2025\5901.01.05.02.1.24.Аристово|33,900|10,619|3,600|21,05|14,23|3 051
с-ж 22.08.24\4030.11.01.01.2.24 Санталовка|30,600|6,536|2,000|12,95|7,91|4 284
с-ж 17.04\5902.01.01.01.1.24 Сугоново|29,700|3,367|1,000|6,67|3,95|4 158
Дробленая солома КН Восток|88,405|0,339|0,300|0,67|1,19|5 000
Шрот соевый. 49%, ЭНАПКХ|89,750|3,231|2,900|6,40|11,46|47 400
к-ж 17.04\5204.01.05.07.1.24 Болдасовка|58,500|4,897|2,865|9,71|11,32|6 435
Жмых рапсовый. 39%, ЭНАПКХ|95,000|2,316|2,200|4,59|8,70|35 020
Ячмень. сухой 53%, средний помол,|89,000|1,124|1,000|2,23|3,95|9 500
Патока свекловичная, сахар 55%,|79,500|0,818|0,650|1,62|2,57|4 360
Жом свекловичный сухой. гр, ЭНАПКХ v2|91,450|0,656|0,600|1,30|2,37|11 730
Жир защищеный. 99%, фракц.,ЭНАПКХ|99,500|0,302|0,300|0,60|1,19|173 620
КК №10|89,444|4,791|4,285|9,49|16,94|19 151
