Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/ Т онна
с-с 17.04\5901.01.05.02.1.24 Аристово|33,800|10,651|3,600|22,05|14,40|3 042
с-с 27.02.25\4030.01.05.02.1.24 Прудки|32,700|11,009|3,600|22,80|14,40|2 943
с-ж 8.05.25\5110.01.08.01.1.24 Дурово|38,900|5,141|2,000|10,65|8,00|5 446
с-ж 17.04\5902.01.01.01.1.24 Сугоново|29,700|3,367|1,000|6,97|4,00|4 158
к-ж 17.04\5204.01.05.07.1.24 Болдасовка|58,500|4,897|2,865|10,14|11,46|6 435
Шрот соевый. 51%, ЭНАПКХ|89,750|3,231|2,900|6,69|11,60|47 630
Жмых рапсовый. 39%, ЭНАПКХ|95,000|2,316|2,200|4,80|8,80|35 020
Ячмень. сухой 53%, средний помол,|89,000|1,124|1,000|2,33|4,00|9 500
Жом свекловичный сухой. гр, ЭНАПКХ v2|91,450|0,711|0,650|1,47|2,60|11 730
Патока свекловичная, сахар 55%,|79,500|0,755|0,600|1,56|2,40|4 360
Жир защищеный. 99%, фракц.,ЭНАПКХ|99,500|0,302|0,300|0,62|1,20|173 620
КК №10|89,444|4,791|4,285|9,92|17,14|19 151
