Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/кг
С-Ж 2392.04.10.01.2.24/14.06.25|31,400|3,503|1,100|8,07|4,40|4 396
С-Ж 2392.01.01.01.1.24/14.06.25|34,300|2,478|0,850|5,71|3,40|4 802
С-Ж 2242.02.08.01.1.24/14.06.25|40,100|2,244|0,900|5,17|3,60|5 614
Жом свекловичный сухой. гр, ЭНАПКХ v2|91,450|1,422|1,300|3,28|5,20|10 000
КК 10 От 17.09.24 ячмень|92,397|3,247|3,000|7,48|12,00|54 262
Кукуруза. 70%,сухая, мелк. помол|87,540|5,597|4,900|12,90|19,60|17 590
Шрот соевый. 47%, ЭНАПКХ|89,750|3,231|2,900|7,45|11,60|44 200
Жмых рапсовый. 36%, ЭНАПКХ|95,000|2,211|2,100|5,09|8,40|23 410
Патока свекловичная, сах.49%, ЭНАПКХ v2|79,500|1,635|1,300|3,77|5,20|3 060
С-С 2392.05.05.02.1.24/14.06.25|37,300|17,828|6,650|41,08|26,60|3 357
