Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/Tonne
С-с 4029.01.05.02.1.24 Уланово22.04.25|38,20|15,97|6,10|37,10|24,40|3438
С-ж 4032.01.01.01.1.25 Гусево/1.07.2025|36,50|6,58|2,40|15,28|9,60|5110
С-ж 4019.02.09.01.2.24 Косово1/1.07.2025|40,10|2,22|0,89|5,16|3,56|5614
Шрот соевый. 47%, ЭНАПКХ|89,75|3,34|3,00|7,77|12,00|42900
к-ж4030.05.05.07.1.24 Детчино 25.06.25|68,10|3,67|2,50|8,53|10,00|7709
Ячмень. сухой 53%, средний помол, ЭНАПКХ|89,00|1,83|1,63|4,25|6,52|18700
Жмых рапсовый СП 39, ЭНАПКХ|95,00|1,05|1,00|2,45|4,00|24560
Шрот рапсовый. 38%, ЭНАПКХ|91,80|1,09|1,00|2,53|4,00|30980
Жом свекловичный сухой. гр, ЭНАПКХ v2|91,45|1,14|1,04|2,64|4,16|12000
Патока свекловичная, сахар 55%,  ЭНАПКХ|79,50|1,01|0,80|2,34|3,20|4310
Жир защищеный. 99%, фракц.,ЭНАПКХ|99,50|0,35|0,35|0,82|1,40|214380
ККД10 Аристово/12.04.24|89,43|4,80|4,29|11,14|17,16|29670
