Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
с-с 4029.03.05.02.1.23|31,60|22,78|7,20|46,79|28,57
с-ж4029.09.01.01.3.23|36,60|9,84|3,60|20,20|14,29
Кукуруза. 70%,сухая, мелк.|87,54|6,17|5,40|12,67|21,43
Шрот соевый. 52%, ЭНАПКХ|89,75|2,79|2,50|5,72|9,92
Ячмень. сухой 53%, средний|89,00|2,70|2,40|5,54|9,52
Жом свекловичный сухой.|91,45|2,19|2,00|4,49|7,94
Шрот рапсовый. 42%|91,80|1,53|1,40|3,13|5,56
Мел. ЭНАПКХ|99,20|0,22|0,22|0,46|0,87
Сода. ЭНАПКХ|95,60|0,21|0,20|0,43|0,79
Премикс дойный Б. 07.23|99,00|0,16|0,16|0,33|0,63
Соль. ЭНАПКХ|99,85|0,12|0,12|0,25|0,48
