Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/Тонна
с-с 27.02.25\4030.01.05.02.1.24 Прудки|32,700|10,902|3,565|22,63|14,12|2 943
с-с 17.04\5901.01.05.02.1.24 Аристово|33,800|10,059|3,400|20,88|13,47|3 042
с-ж 8.05.25\5313.03.01.01.3.24 Поливаново|37,700|5,040|1,900|10,46|7,52|5 278
с-ж 17.04\5902.01.01.01.1.24 Сугоново|29,700|3,535|1,050|7,34|4,16|4 158
к-ж 8.05.25\5204.01.05.07.1.24 Болдасовка|61,000|4,918|3,000|10,21|11,88|6 710
Шрот соевый. 51%, ЭНАПКХ|89,750|3,343|3,000|6,94|11,88|47 630
Жмых рапсовый. 39%, ЭНАПКХ|95,000|1,789|1,700|3,71|6,73|35 020
Ячмень. сухой 53%, средний помол,|89,000|1,798|1,600|3,73|6,34|9 500
Патока свекловичная, сахар 55%,|79,500|0,755|0,600|1,57|2,38|4 360
Жом свекловичный сухой. гр, ЭНАПКХ v2|91,450|0,601|0,550|1,25|2,18|11 730
Жир защищеный. 99%, фракц.,ЭНАПКХ|99,500|0,302|0,300|0,63|1,19|173 620
КК №10|89,444|4,791|4,285|9,94|16,97|19 151
Дробленая солома КН Восток|88,405|0,339|0,300|0,70|1,19|5 000
