Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
c-c 4029.04.05.02.1.23|32,50|20,62|6,70|40,95|26,80
с-|33,00|6,06|2,00|12,04|8,00
с-|31,80|4,56|1,45|9,06|5,80
Кукуруза. 70%,сухая, мелк.|87,54|4,68|4,10|9,30|16,40
Шрот соевый. 52%, ЭНАПКХ|89,75|3,34|3,00|6,64|12,00
к-ж5701.05.07.1.23 Бушовка|44,60|4,93|2,20|9,80|8,80
Шрот рапсовый. 38%,|91,80|1,69|1,55|3,35|6,20
Пшеница. 55%, сухая.средн.|87,49|1,14|1,00|2,27|4,00
Жом свекловичный сухой.|91,45|1,09|1,00|2,17|4,00
Патока свекловичная, сахар|79,50|1,01|0,80|2,00|3,20
Жир защищеный. 99%,|99,50|0,35|0,35|0,70|1,40
Мел. ЭНАПКХ|99,20|0,25|0,25|0,50|1,00
Сода. ЭНАПКХ|95,60|0,21|0,20|0,42|0,80
Премикс дойный Б. 07.23|99,00|0,17|0,17|0,34|0,68
Соль. ЭНАПКХ|99,85|0,13|0,13|0,26|0,52
Поташ. ЭНАПКХ|98,50|0,10|0,10|0,20|0,40
Общие значения| |50,34|25,00|100,00|100,00
