Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/килограмм
5100.01.05.02.1.24/20.05.25v2|34,100|24,399|8,320|45,36|30,82|3 000
5701.01.01.01.1.25/18.06.25|31,200|6,410|2,000|11,92|7,41|4 000
5100.01.10.01.1.24/18.06.25|28,500|3,509|1,000|6,52|3,70|4 000
Шрот соевый. 49%, ЭНАПКХ|89,750|3,900|3,500|7,25|12,96|46 000
5100.01.05.07.1.24/18.06.25|53,600|4,664|2,500|8,67|9,26|8 000
Ячмень.60%, сухой, средний|89,000|1,854|1,650|3,45|6,11|17 000
Шрот Рапсовый|89,000|1,910|1,700|3,55|6,30|22 000
Патока свекловичная, сахар|79,500|1,132|0,900|2,10|3,33|3 870
Жом свекловичный сухой.|91,450|0,574|0,525|1,07|1,94|10 000
Жир защищеный. 99%, фракц.,ЭНАПКХ|99,500|0,370|0,369|0,69|1,36|196 000
КК 10 Аристово 11.03.25|89,444|5,071|4,536|9,43|16,80|19 430
