Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/килограмм
5100.01.10.01.1.24 /24.01.25|31,300|1,597|0,500|3,39|2,00|5 634
5701.04.05.07.1.24 / 20.01.25|63,300|4,739|3,000|10,07|12,00|15 890
5701.01.01.01.1.24 /20.01.25|42,000|3,095|1,300|6,58|5,20|5 880
5701.04.01.01.3.24 /15.11.24|34,200|5,088|1,740|10,81|6,96|4 788
Шрот соевый. 49%, ЭНАПКХ|89,750|3,343|3,000|7,10|12,00|49 500
Ячмень.60%, сухой, средний|89,000|2,528|2,250|5,37|9,00|18 300
Жом свекловичный сухой.|91,450|1,093|1,000|2,32|4,00|12 000
Жир защищеный. 99%|99,500|0,352|0,350|0,75|1,40|225 200
Патока свекловичная, сахар|79,500|1,069|0,850|2,27|3,40|
Жмых рапсовый. 39%|95,000|1,474|1,400|3,13|5,60|2 800
5100.01.05.02.1.24 / 17.12.24|33,200|18,976|6,300|40,33|25,20|
ккз аристово v4|89,470|3,700|3,310|7,86|13,24|
Общие значения|47,054(53,1 %СВ)|25,000|Стоимость ₽|435||
