Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/килограмм
5100.01.10.01.1.24 /24.01.25|31,300|1,597|0,500|3,57|2,00|5 634
5701.04.05.07.1.24 / 20.01.25|63,300|4,739|3,000|10,61|12,00|15 890
5701.01.01.01.1.24 /20.01.25|42,000|2,857|1,200|6,39|4,80|5 880
5701.04.01.01.3.24 /15.11.24|34,200|5,263|1,800|11,78|7,20|4 788
5701.03.05.02.1.24 /20.01.25|37,500|2,667|1,000|5,97|4,00|3 375
Шрот соевый. 49%, ЭНАПКХ|89,750|3,343|3,000|7,48|12,00|49 500
Ячмень.60%, сухой, средний|89,000|2,584|2,300|5,78|9,20|18 300
Жом свекловичный сухой.|91,450|1,148|1,050|2,57|4,20|12 000
Жир защищеный. 99%|99,500|0,352|0,350|0,79|1,40|225 200
Патока свекловичная, сахар|79,500|1,006|0,800|2,25|3,20|
Жмых рапсовый. 39%|95,000|1,474|1,400|3,30|5,60|2 800
5701.02.05.02.1.24 /18.11.24|37,900|13,958|5,290|31,23|21,16|
ккз аристово v4|89,470|3,700|3,310|8,28|13,24|
Общие значения|44,688(55,9 %СВ)|25,000||||
Стоимость ₽|445|||||
