Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Шрот соевый. 49%, ЭНАПКХ|89,750|2,953|2,650|5,94|10,60
Кукуруза. 70%,сухая средн.|87,540|1,257|1,100|2,53|4,40
Жир защищенный. 99%|99,000|0,354|0,350|0,71|1,40
Премикс дойный Б. 09.22|99,000|0,152|0,150|0,30|0,60
Сода. ЭНАПКХ|95,600|0,251|0,240|0,51|0,96
Соль. ЭНАПКХ|99,850|0,150|0,150|0,30|0,60
Мел. ЭНАПКХ|99,200|0,222|0,220|0,45|0,88
Поташ. ЭНАПКХ|98,500|0,102|0,100|0,20|0,40
Дрожжи кормовые. СП 37%.|90,490|0,332|0,300|0,67|1,20
Ячмень.60%, сухой, средний|89,000|2,022|1,800|4,07|7,20
Патока свекловичная, сах.49%|79,500|1,761|1,400|3,54|5,60
Солома-пшеничная ОМ Север|95,900|1,084|1,040|2,18|4,16
С-с 6201.10.05.02.1.23|30,620|22,861|7,000|46,01|28,00
С-ж 6201.07.01.01.1.24|38,500|6,883|2,650|13,85|10,60
ЗСК 6201.05.05.07.1.22|53,800|7,249|3,900|14,59|15,60
Жмых рапсовый. 36%|95,000|2,053|1,950|4,13|7,80
Общие значения||49,684|25,000||50,3 %СВ
