Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Шрот соевый. 49%, ЭНАПКХ|89,750|2,674|2,400|5,76|9,60
Кукуруза. 70%,сухая средн.|87,540|1,462|1,280|3,15|5,12
Патока свекловичная, сахар|79,500|1,698|1,350|3,66|5,40
Премикс дойный Б. 09.22|99,000|0,151|0,150|0,33|0,60
Сода. ЭНАПКХ|95,600|0,251|0,240|0,54|0,96
Соль. ЭНАПКХ|99,850|0,150|0,150|0,32|0,60
Мел. ЭНАПКХ|99,200|0,181|0,180|0,39|0,72
Поташ. ЭНАПКХ|98,500|0,101|0,100|0,22|0,40
Жир защищеный. 99%|99,500|0,301|0,300|0,65|1,20
Дрожжи кормовые. СП 37%.|90,490|0,331|0,300|0,71|1,20
Шрот рапсовый. 38%, ЭНАПКХ|91,800|2,015|1,850|4,34|7,40
Ячмень.60%, сухой, средний|89,000|2,416|2,150|5,21|8,60
Солома-пшеничная ОМ Север|90,900|1,100|1,000|2,37|4,00
С-с 6203.05.05.02.1.24|39,200|17,093|6,701|36,85|26,80
ЗСК 6202.05.05.07.1.23|53,850|4,550|2,450|9,81|9,80
С-ж 6202.02.01.01.1.24 03.02.25|31,300|10,224|3,200|22,04|12,80
Плющ зерно 6203.06.05.06.1.24 03.02.25|71,100|1,688|1,200|3,64|4,80
