Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
с-с 6204.01.05.02.1.24|29,600|23,649|7,000|62,20|38,82
с-ж 6204.06.01.01.2.24|36,000|3,333|1,200|8,77|6,66
солома|86,200|1,392|1,200|3,66|6,66
Кальций пропионат.|94,000|0,213|0,200|0,56|1,11
Соль. ЭНАПКХ|99,850|0,070|0,070|0,18|0,39
Сода. ЭНАПКХ|95,600|0,136|0,130|0,36|0,72
Премикс Транзит Б. 07.23|99,000|0,303|0,300|0,80|1,66
Мел. ЭНАПКХ|99,200|0,131|0,130|0,34|0,72
Кукуруза. 70%,сухая, мелк.|87,540|2,513|2,200|6,61|12,20
Поташ. ЭНАПКХ|98,500|0,051|0,050|0,13|0,28
Шрот рапсовый. 38%,|91,800|2,397|2,200|6,30|12,20
Шрот соевый. 49%, ЭНАПКХ|89,750|2,451|2,200|6,45|12,20
Патока свекловичная, сахар 55%, ЭНАПКХ|79,500|1,132|0,900|2,98|4,99
Жир защищеный. 99%, фракц.,ЭНАПКХ|99,500|0,251|0,250|0,66|1,39
Общие значения| |38,022|18,030|47,4|%СВ
