Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
с-с 6204.01.05.02.1.24|29,600|23,649|7,000|47,91|27,90
с-ж 6204.06.01.01.2.24|36,000|3,333|1,200|6,75|4,78
с-ж 6204.01.12.01.1.24|31,300|5,431|1,700|11,00|6,78
Жом свекловичный сухой.|91,450|1,312|1,200|2,66|4,78
Шрот соевый. 49%, ЭНАПКХ|89,750|3,008|2,700|6,09|10,76
Ячмень.61%, сухой, средний|89,000|4,719|4,200|9,56|16,74
Кукуруза. 70%,сухая, мелк.|87,540|2,856|2,500|5,79|9,96
Шрот рапсовый. 38%,|91,800|2,614|2,400|5,30|9,57
Патока свекловичная, сахар|79,500|1,132|0,900|2,29|3,59
Жир защищеный. 99%,|99,500|0,402|0,400|0,81|1,59
Поташ. ЭНАПКХ|98,500|0,102|0,100|0,21|0,40
Мел. ЭНАПКХ|99,200|0,252|0,250|0,51|1,00
Сода. ЭНАПКХ|95,600|0,230|0,220|0,47|0,88
Соль. ЭНАПКХ|99,850|0,150|0,150|0,30|0,60
Премикс дойный Б. 07.23 ЭНАПКХ|99,000|0,172|0,170|0,35|0,68
