Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
с-с 6204.01.05.02.1.24|29,600|23,649|7,000|47,12|27,79
с-ж 6204.06.01.01.2.24|36,000|4,444|1,600|8,86|6,35
с-ж 6204.01.12.01.1.24|31,300|5,431|1,700|10,82|6,75
Жом свекловичный сухой.|91,450|1,312|1,200|2,61|4,76
Шрот соевый. 49%, ЭНАПКХ|89,750|2,563|2,300|5,11|9,13
Кукуруза. 70%,сухая, мелк.|87,540|2,856|2,500|5,69|9,92
Ячмень.61%, сухой, средний|89,000|4,831|4,300|9,63|17,07
Шрот рапсовый. 38%,|91,800|2,614|2,400|5,21|9,53
Поташ. ЭНАПКХ|98,500|0,102|0,100|0,20|0,40
Мел. ЭНАПКХ|99,200|0,252|0,250|0,50|0,99
Сода. ЭНАПКХ|95,600|0,230|0,220|0,46|0,87
Соль. ЭНАПКХ|99,850|0,150|0,150|0,30|0,60
Премикс дойный Б. 07.23|99,000|0,172|0,170|0,34|0,67
Патока свекловичная, сахар 55%,  ЭНАПКХ|79,500|1,384|1,100|2,76|4,37
Жир защищеный. 99%, фракц.,ЭНАПКХ|99,500|0,201|0,200|0,40|0,79
Общие значения||50,191|25,190||50,2 %СВ
