Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
с-с 6204.01.05.02.1.24|29,600|24,662|7,300|46,13|28,49
с-ж 6204.06.01.01.2.24|36,000|5,556|2,000|10,39|7,81
c-ж 6204.01.12.01.1.24|25,100|5,179|1,300|9,69|5,07
к-ж 6204.02.05.07.1.23|51,100|2,935|1,500|5,49|5,85
Жом свекловичный сухой.|91,450|0,984|0,900|1,84|3,51
Шрот соевый. 49%, ЭНАПКХ|89,750|2,674|2,400|5,00|9,37
Кукуруза. 70%,сухая, мелк.|87,540|2,627|2,300|4,91|8,98
Шрот рапсовый. 38%,|91,800|2,614|2,400|4,89|9,37
Поташ. ЭНАПКХ|98,500|0,102|0,100|0,19|0,39
Мел. ЭНАПКХ|99,200|0,252|0,250|0,47|0,98
Сода. ЭНАПКХ|95,600|0,230|0,220|0,43|0,86
Соль. ЭНАПКХ|99,850|0,180|0,180|0,34|0,70
Премикс дойный Б. 07.23|99,000|0,172|0,170|0,32|0,66
Патока свекловичная, сахар|79,500|1,384|1,100|2,59|4,29
Ячмень.61%, сухой, средний помол, ЭНАПКХ|89,000|3,708|3,300|6,94|12,88
Жир защищеный. 99%, фракц.,ЭНАПКХ|99,500|0,201|0,200|0,38|0,78
