Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
с-с 6204.01.05.02.1.24|29,600|24,324|7,200|50,17|32,73
с-ж 6204.06.01.01.2.24|36,000|4,028|1,450|8,31|6,59
c-ж 6204.01.12.01.1.24|25,100|7,171|1,800|14,79|8,18
Шрот рапсовый. 38%|91,800|2,288|2,100|4,72|9,55
Шрот соевый. 49%, ЭНАПКХ|89,750|2,117|1,900|4,37|8,64
Кукуруза. 70%,сухая, мелк.|87,540|2,742|2,400|5,65|10,91
Ячмень.61%, сухой, средний|89,000|2,584|2,300|5,33|10,45
Патока свекловичная, сахар|79,500|1,258|1,000|2,59|4,55
Жом свекловичный сухой.|91,450|1,312|1,200|2,71|5,45
Премикс дойный Б. 07.23|99,000|0,152|0,150|0,31|0,68
Сода. ЭНАПКХ|95,600|0,209|0,200|0,43|0,91
Соль. ЭНАПКХ|99,850|0,100|0,100|0,21|0,45
Поташ. ЭНАПКХ|98,500|0,071|0,070|0,15|0,32
Мел. ЭНАПКХ|99,200|0,131|0,130|0,27|0,59
