Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
с-с 6204.01.05.02.1.24|29,600|23,986|7,100|47,70|27,85
с-ж 6204.06.01.01.2.24|36,000|3,333|1,200|6,63|4,71
с-ж 6204.01.12.01.1.24|31,300|5,112|1,600|10,17|6,28
к-ж 6204.01.05.07.1.24|69,800|2,149|1,500|4,27|5,88
Жом свекловичный сухой.|91,450|1,312|1,200|2,61|4,71
Шрот соевый. 49%, ЭНАПКХ|89,750|3,120|2,800|6,20|10,98
Кукуруза. 70%,сухая, мелк.|87,540|2,627|2,300|5,22|9,02
Шрот рапсовый. 38%,|91,800|2,723|2,500|5,42|9,81
Патока свекловичная, сахар|79,500|1,132|0,900|2,25|3,53
Поташ. ЭНАПКХ|98,500|0,102|0,100|0,20|0,39
Мел. ЭНАПКХ|99,200|0,252|0,250|0,50|0,98
Сода. ЭНАПКХ|95,600|0,230|0,220|0,46|0,86
Соль. ЭНАПКХ|99,850|0,150|0,150|0,30|0,59
Премикс дойный Б. 07.23|99,000|0,172|0,170|0,34|0,67
Ячмень.61%, сухой, средний помол, ЭНАПКХ|89,000|3,483|3,100|6,93|12,16
Жир защищеный. 99%, фракц.,ЭНАПКХ|99,500|0,402|0,400|0,80|1,57
