Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/килограмм
Кукуруза. 70%,сухая, мелк.|87,540|4,569|4,000|8,79|16,00|21 000,000
Ячмень. сухой 53%, средний|89,000|6,966|6,200|13,40|24,80|16 000,000
Шрот соевый. 49%, ЭНАПКХ|89,750|2,195|1,970|4,22|7,88|50 071,000
Жмых льняной. 36%, ЭНАПКХ|95,000|1,895|1,800|3,64|7,20|29 800,000
Патока свекловичная, сахар|79,500|1,786|1,420|3,44|5,68|8 510,000
Жир защищенный. 99%,|99,000|0,354|0,350|0,68|1,40|164 370,000
Мел. ЭНАПКХ|99,200|0,252|0,250|0,48|1,00|5 890,000
Премикс дойный Б. 09.22|99,000|0,152|0,150|0,29|0,60|125 750,000
Сода. ЭНАПКХ|95,600|0,199|0,190|0,38|0,76|41 730,000
Поташ. ЭНАПКХ|98,500|0,091|0,090|0,18|0,36|64 820,000
Соль. ЭНАПКХ|99,850|0,105|0,105|0,20|0,42|6 540,000
Пивные дрожжи сухие|94,440|0,318|0,300|0,61|1,20|27 500,000
6110.09.05.02.1.24/29.04.25|19,100|11,387|2,175|21,90|8,70|1 719,000
6110.10.18.01.1.24 / 02.07.25|23,300|15,021|3,500|28,89|14,00|3 262,000
6110.01.01.01.1.24 люцерна|37,300|6,702|2,500|12,89|10,00|5 222,000
