Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
солома ячменная|91,900|0,435|0,400|0,91|1,60
2531.01.01.01.2.24 /03.05.25|41,500|8,434|3,500|17,58|14,00
2531.05.05.02.1.24 / 03.05.25|29,000|22,759|6,600|47,45|26,40
Кукуруза. 70%,сухая средн.|87,540|5,483|4,800|11,43|19,20
Комбикорм №11 ЭНАС|92,249|3,360|3,100|7,01|12,40
Шрот соевый. 49%, ЭНАПКХ|89,750|3,120|2,800|6,50|11,20
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,089|1,000|2,27|4,00
Жом свекловичный сухой.|91,450|0,875|0,800|1,82|3,20
Соевая оболочка ЭНАПКХ|90,200|0,776|0,700|1,62|2,80
Патока свекловичная, сах.49%, ЭНАПКХ v|79,500|1,635|1,300|3,41|5,20
