Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Пшеничная солома|86.200|0.696|0.600|1.49|2.40
3645.01.10.01.1.23 / 15.02.2024|29.400|5.102|1.500|10.93|6.00
3645.01.10.01.1.23 / 10.02.2024|43.500|3.678|1.600|7.86|6.43
3645.01.05.2.123 / 10.01.2024|29.600|19.728|5.600|42.28|23.20
Жом свеклосуш. сухой, гр.|91.450|1.531|1.400|3.28|2.50
Патока свеклочная, сах.49%|75.800|1.847|1.400|3.77|2.60
Кукуруза 70%, сухая соедин.|87.540|5.141|4.500|11.02|18.00
Сорго, 68%, сухое, ср. помол|90.600|1.108|1.000|2.36|4.20
Шрот соевый, 49%, ЭНАПКХ|89.650|3.008|2.700|6.45|10.80
Шрот рапсовый, 41%, ЭНАПКХ|88.400|1.525|1.400|3.27|5.60
Комбикорм 11 группы (Д1) от *|91.777|3.378|3.100|7.24|12.40
