Ингредиент|СВ %|ГП кг|СВ кг|% ГП|% СВ
Пшеничная солома|86,200|0,348|0,300|0,73|1,20
3638.02.01.01.2.24 / 09.01.25|41,900|8,115|3,400|17,07|13,60
3638.04.05.02.1.23 / 09.01.25|29,300|22,526|6,600|47,39|26,40
Кукуруза. 70%,сухая средн.|87,540|4,912|4,300|10,33|17,20
Шрот соевый. 49%, ЭНАПКХ|89,750|3,008|2,700|6,33|10,80
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,307|1,200|2,75|4,80
Комбикорм №11 ЭНАС|92,249|3,360|3,100|7,07|12,40
Жом свекловичный сухой.|91,450|1,422|1,300|2,99|5,20
Патока свекловичная, сах.49%, ЭНАПКХ v|279,500|1,761|1,400|3,70|5,60
Соевая оболочка ЭНАПКХ|90,200|0,776|0,700|1,63|2,80
Общие значения||47,535|25,000|52,6|%СВ
