Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Пшеничная солома|86,200|0,580|0,500|1,25|2,00
3635.01.01.01.1.24 / 05.06.25|39,700|8,816|3,500|19,04|14,00
3635.05.05.02.1.24 /05.06.24|31,900|20,690|6,600|44,69|26,40
Кукуруза. 70%,сухая средн.|87,540|5,141|4,500|11,10|18,00
Комбикорм №11 ЭНАС|92,249|3,360|3,100|7,26|12,40
Шрот соевый. 49%, ЭНАПКХ|89,750|3,120|2,800|6,74|11,20
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,307|1,200|2,82|4,80
Жом свекловичный сухой.|91,450|1,093|1,000|2,36|4,00
Соевая оболочка ЭНАПКХ|90,200|0,554|0,500|1,20|2,00
Патока свекловичная, сах.49%, ЭНАПКХ v|79,500|1,635|1,300|3,53|5,20
