Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
силос 9202.04.05.02.1.24/06.06|28,400|17,958|5,100|35,04|20,40
силос9202.01.05.02.1.24/06.06.|24,000|4,583|1,100|8,94|4,40
люцерна_9202.04.01.01.1.24\06|35,000|8,771|3,070|17,12|12,28
плющенная кукуруза|60,400|3,146|1,900|6,14|7,60
корнаж|49,400|2,632|1,300|5,14|5,20
Ячмень.60%, сухой, средний|89,000|1,966|1,750|3,84|7,00
пшеница_консерв_СНБ/07.10.2|79,100|1,125|0,890|2,20|3,56
Шрот соевый. 49%, ЭНАПКХ|89,750|3,120|2,800|6,09|11,20
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,797|1,650|3,51|6,60
Жир защищеный. 99%,|99,500|0,352|0,350|0,69|1,40
Жом свекловичный сухой. гр,|91,450|1,367|1,250|2,67|5,00
Патока свекловичная, сахар|79,500|1,509|1,200|2,95|4,80
Поташ. ЭНАПКХ|98,500|0,102|0,100|0,20|0,40
Кукуруза. 70%,сухая, мелк.|87,540|2,113|1,850|4,12|7,40
Сода. ЭНАПКХ|95,600|0,209|0,200|0,41|0,80
Соль. ЭНАПКХ|99,850|0,120|0,120|0,23|0,48
Мел. ЭНАПКХ|99,200|0,222|0,220|0,43|0,88
Премикс дойный Б. 07.23|99,000|0,152|0,150|0,30|0,60
Общие значения| |51,244|25,000|100,00|100,00
