Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
корнаж_9202.03.05.07.1.23/24.0|54,200|2,768|1,500|5,67|6,00
кукуруза_плющ_9202.01.05.06.|58,500|3,077|1,800|6,31|7,20
силос_9202.04.05.02.1.24/28.01|28,000|21,429|6,000|43,93|24,00
люц_9202.04.01.01.1.24/24.02.2|48,400|3,306|1,600|6,78|6,40
рожь_9202.02.13.01.1.24/05.03.|35,100|3,504|1,230|7,18|4,92
Жом свекловичный сухой. гр|91,450|1,640|1,500|3,36|6,00
Кукуруза. 70%,сухая, мелк.|87,540|2,856|2,500|5,85|10,00
Шрот соевый. 49%, ЭНАПКХ|89,750|3,343|3,000|6,85|12,00
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,797|1,650|3,68|6,60
пшеница_консерв_СНБ/07.10.2|79,100|2,655|2,100|5,44|8,40
Жир защищеный. 99%|99,500|0,322|0,320|0,66|1,28
Поташ. ЭНАПКХ|98,500|0,081|0,080|0,17|0,32
Патока свекловичная, сахар|79,500|1,321|1,050|2,71|4,20
Сода. ЭНАПКХ|95,600|0,209|0,200|0,43|0,80
Соль. ЭНАПКХ|99,850|0,120|0,120|0,25|0,48
Мел. ЭНАПКХ|99,200|0,202|0,200|0,41|0,80
Премикс дойный Б. 07.23|99,000|0,152|0,150|0,31|0,60
Общие значения|48,780|25,000||51,3|%СВ
