зерно,концентраты,корнаж,кукуруза,лен,подсолнечник,пшеница,рапс,свекла,сенаж,сено,силос,солома,сорго,соя,ячмень,target
0.0,12.4,0.0,19.24,0.0,0.0,0.0,4.88,10.280000000000001,14.760000000000002,0.0,26.24,0.0,0,12.2,0.0,4.1
0.0,12.0,0.0,17.2,0.0,0.0,0.0,7.8,10.4,13.0,0.0,26.8,0.0,0,12.8,0.0,3.76
0.0,12.0,0.0,19.6,0.0,0.0,0.0,8.4,10.4,11.4,0.0,26.6,0.0,0,11.6,0.0,3.91
0.0,12.4,0.0,21.4,0.0,0.0,0.0,5.6,10.600000000000001,13.280000000000001,0.0,24.72,0.0,0,12.0,0.0,4.34
0.0,18.4,0.0,21.4,0.0,0.0,0.0,5.4,5.2,11.0,3.0,24.0,0.0,0,11.6,0.0,4.0
0.0,12.0,0.0,19.2,0.0,0.0,0.0,7.2,10.4,11.6,0.0,27.2,0.0,0,12.4,0.0,3.68
0.0,12.0,0.0,20.0,0.0,0.0,0.0,8.0,10.4,10.8,0.0,25.2,2.0,0,11.6,0.0,3.86
0.0,12.0,0.0,19.2,0.0,0.0,0.0,7.2,10.4,11.6,0.0,27.2,0.0,0,12.4,0.0,3.61
0.0,1.09,0.0,13.64,0.0,0.0,0.0,6.82,4.55,44.769999999999996,0.0,29.14,0.0,0,0.0,0.0,3.57
0.0,12.0,0.0,18.0,0.0,0.0,0.0,7.2,10.4,11.2,0.0,27.4,1.0,0,12.8,0.0,3.93
0.0,12.0,0.0,20.0,0.0,0.0,0.0,8.2,10.8,11.2,0.0,26.6,0.0,0,11.2,0.0,4.08
0.0,18.4,0.0,21.2,0.0,0.0,0.0,5.6,5.2,12.6,0.0,23.4,2.0,0,11.6,0.0,4.38
0.0,15.6,0.0,22.2,0.0,0.0,0.0,8.2,5.0,14.0,0.0,23.4,2.8,0,8.8,0.0,4.24
0.0,12.4,0.0,18.0,0.0,0.0,0.0,4.0,9.2,14.4,0.0,26.8,2.0,0,13.2,0.0,3.97
0.0,12.4,0.0,19.2,0.0,0.0,0.0,4.0,8.4,14.0,0.0,26.4,1.6,0,14.0,0.0,4.03
0.0,12.4,0.0,20.6,0.0,0.0,0.0,6.6,10.600000000000001,14.0,0.0,24.6,0.0,0,11.2,0.0,4.25
0.0,4.37,5.85,8.98,0.0,0.0,0.0,9.37,7.8,12.879999999999999,0.0,28.49,0.0,0,9.37,12.88,4.47
0.0,5.19,5.9,9.05,0.0,0.0,0.0,9.44,7.08,11.02,0.0,29.11,0.0,0,11.01,12.2,4.31
0.0,5.19,5.9,9.05,0.0,0.0,0.0,9.44,7.08,11.02,0.0,29.11,0.0,0,11.01,12.2,4.54
0.0,2.95,10.0,7.27,0.0,0.0,0.0,10.0,10.91,14.77,0.0,30.0,0.0,0,8.64,5.45,4.71
0.0,1.9400000000000002,0.0,0.0,0.0,12.06,0.0,6.82,3.67,15.21,0.0,51.39,0.0,0,0.0,8.91,3.79
4.0,4.08,4.8,8.0,0.0,0.0,0.0,5.2,9.2,16.72,0.0,18.0,0.0,0,14.0,16.0,4.08
6.0,15.4,6.0,11.2,0.0,0.0,0.0,5.0,8.2,14.6,0.0,21.2,0.0,0,12.4,0.0,4.33
0.0,4.28,6.0,17.2,0.0,0.0,8.4,6.6,10.2,11.32,0.0,24.0,0.0,0,12.0,0.0,4.19
